Sex,Seat,libarts,TV,computer,Sleep,alcohol,Height,momheight,dadheight,exercise,GPA
Female,Back,NonLib,13,10,3.5,12,66,66,71,10,4
Male,Back,NonLib,20,7,9,0,72,64,65,2,2.3
Male,Back,NonLib,15,15,6,0,68,62,74,3,2.6
Male,Middle,NonLib,8,20,6,0,68,59,70,6,2.8
Female,Front,NonLib,2.5,10,5,5,64,65,70,6.5,2.62
Male,Middle,NonLib,2,14,9,0,68.5,60,68,2,2.2
Female,Front,NonLib,4,28,8.5,1.5,69,66,76,3,3.78
Female,Middle,NonLib,8,10,7,4.5,66,63,70,4.5,3.2
Male,Middle,NonLib,1,15,8,1,70,68,71,3,3.31
Male,Back,NonLib,8,25,4.5,0,67,63,66,6,3.39
Male,Middle,NonLib,3.5,9,8,7,68,62,64,8,3
Female,Middle,NonLib,11,20,5,3,68,64,69,0,2.5
Male,Back,NonLib,10,14,8,15,68,61,72,10,2.8
Male,Front,NonLib,1,84,5,2.5,61,62,62,3,2.34
Female,Middle,NonLib,10,11,9,1,65,62,66,5,2
Female,Back,NonLib,10,1,9,15,64,70,73,4,2.4
Female,Middle,NonLib,1,5,6.5,5,65,70,75,3,1.05
Male,Middle,NonLib,2,6,5,35,71,62,69,20,3.25
Male,Middle,NonLib,40,4,4,0,68,54,68,4.5,3.5
Male,Back,NonLib,10,10,8.5,55,77,64,74,10,2.2
Female,Front,NonLib,30,30,9.5,0,68,68,69,1,2.5
Male,Front,NonLib,1.5,8,8.5,0,67,64,66,5,3.5
Male,Middle,NonLib,10,12,9,10,75,68,73,7,3
Male,Back,NonLib,15,5,6,30,72,67,71,6,3.6
Male,Back,NonLib,4,5,6.5,4,68,66,68,9,3.16
Male,Back,NonLib,6,6,5,20,72,62,70,10,2.4
Female,Middle,NonLib,100,2,7,0,66,60,77,3,2.65
Female,Front,NonLib,15,40,5,0,60,59,62,10,2.6
Female,Middle,NonLib,1,14,6,0,60,62,63,2,0.548
Male,Front,NonLib,3.5,22.5,7,2,66,60,64,3,3.4
Male,Middle,NonLib,10,20,8,0,75,64,67,5,4
Male,,NonLib,1,14,7,0,69,64,69,10,3.2
Male,Middle,NonLib,1,10,6.5,0,73,60,67,8,3
Male,,NonLib,4,3,6,10,70,60,65,3,2.2
Female,Middle,NonLib,1,3,7,1,64,60,72,3,3.5
Female,Back,NonLib,6,3,7,2,70,62,74,10,3.28
